154931495;53384176
77793641;27521894
1432812;829116
7873918;6997779
6073641;5207503
4025542;3292563
1156001;714268
4019919;2768202
2551682;848331
5250805;4274112
1406184;953469
7976026;7093169
7590062;6680330
10667133;9784181
14539530;2035840
2943052;2486389
4463155;3928689
1820815;738224
7499148;3060207
2026133;1593093
6829162;6236194
1456802;761764
980391;552447
7053139;5663333
1011969;603665
2812447;1994625
57021036;43680563
4265508;3151434
1017012;505040
2771441;806999
2595021;1991369
1247700;849321
986901;618990
932080;541064
981575;612398
4872041;3910944
1149790;801084
2135297;1526691
853712;515198
121062442;111822322
1077226;651029
1005321;549394
1178867;637959
7259026;5769142
6365869;3370824
11567933;11092247
9941096;9621412
10913919;5033734
15382287;14720416
13765523;12141961
14387104;12029840
18968988;16521818
1007043;629099
4773783;4188728
7022041;5954224
878239;523751
3620817;2521741
8407450;7663802
11355412;10625170
944000;585856
3571988;1333813
1188824;860784
8905064;6304226
1060942;682554
5083726;2792847
9348465;8704344
3196380;2641840
2017687;1552281
4118332;3483374
3834316;3531266
1126881;802360
9870642;7737326
811757;486189
2580243;2027534
3575973;3032194
6035017;5472430
6945199;6443762
84826745;72086801
60547244;58012068
2259842;1694475
1274361;881842
1653066;1291763
3741805;3237632
1221925;837196
2853087;850114
990142;587740
859469;541902
8308724;5878381
1615083;1270582
2607182;2124809
1211210;820300
3558738;3027339
1950569;1483812
5353041;4874138
7126445;4955209
10231854;9502867
4237233;3710425
5014314;4487534
5215946;4634942
2555732;2045194
144982034;138761340
9524460;2076872
8450071;3250232
15916624;15590229
16007244;15501277
15505877;15072920
3117668;2753028
11255535;10757341
7632946;7160826
125306758;113102332
2274914;1770933
46256970;3996938
30458225;29967079
1077817;760559
3906396;1907894
2144452;1633261
227519669;205409494
40581115;13872481
5181171;3926208
955725;628136
4824769;4348384
2626863;2268915
2948864;2615356
9218413;8570243
1993398;1655924
34534147;33982287
8810460;8038976
7163210;6686636
7504890;6958082
3243232;2907722
3379434;3080247
2196575;1850876
5066831;3830951
1510480;1188290
9251839;8592542
111565324;82703801
4139032;3594528
855038;500246
172137657;149112273
6724600;6277072
2488859;1299922
3519935;3056069
4942779;4450832
7943455;6187646
5979718;5632419
4162068;3702339
12760770;12310046
12461379;11582859
2234154;1797854
2743576;2242551
27425239;26963439
2877065;2411178
5794691;5356348
5038921;4585051
52671562;40194324
12525453;11669835
1303125;964861
1925759;1606126
4530724;4098368
1807966;1458655
3950439;3308962
1324210;993320
7469547;6264331
6127690;5660380
23678945;14375577
2227739;1891415
3307902;2995172
979322;601877
2945781;643994
939531;621594
11974985;11342647
10772750;10171962
9959103;9131663
811458;482976
2037001;1567555
1111384;660741
1675867;1339073
