141473865;38647976
55963817;22301670
150246156;53922327
1594003;991620
1506289;886307
4457159;3730254
2729628;1891284
2316152;1770649
8838201;8070057
5715216;3846749
1410979;928755
1403150;898438
7587814;6692869
9303931;6246899
14610058;10588532
1851941;902247
1136295;670292
4164410;3338891
4863500;2186298
4451674;4003585
6328966;5807946
4751266;4028923
6818816;2399827
81323876;63666011
6556868;4976446
13615908;10049386
16556785;14136647
23419073;22219961
34272919;26977827
5636318;5224490
7871805;7442722
5369619;2790265
6292498;2194682
8362787;5297469
10372551;3159127
4656584;1181426
5348886;5009966
5210969;4862874
5286206;4919359
8446187;7990988
6066468;5488802
4237335;3867875
1818838;1473982
7073632;6690915
13557646;11702600
16915679;16363638
14104279;13499558
12572798;7510206
15973362;15119183
1328986;897673
1351373;917692
3912330;3269049
1936143;1593911
2240451;1812273
11442415;8446367
10064123;9552434
2518943;1908578
13983860;13263445
15921955;14772344
918497;555319
2175961;1834857
4104091;3243383
2422268;2080104
1278206;871268
9986235;9433273
6427204;5166278
6798504;4611475
13413587;12584989
4260296;3675105
1362761;1024607
2562605;585385
1332833;974213
988068;604541
3221786;2699924
2279204;1755715
2274623;1739655
2903376;2397875
7669750;4882353
9863751;9332154
2175499;542651
879876;479252
2320395;1716136
1196212;834920
91435874;88197118
1693361;1336355
4285172;3877180
985595;643669
1759061;1404800
3857494;3297205
1324847;986929
5748170;5064779
12421768;11612123
11950861;11004980
2689764;2094772
10174388;2419652
2343568;1813504
93332407;84175135
4139284;3639567
5277501;4759302
3576324;3213359
24380398;23058947
5318268;4855246
13090893;12562116
8246991;7059875
16442813;15909213
109498144;107525628
185604064;177106810
4282130;3209229
7393512;6623410
5554280;5209162
10573023;7280721
9954009;7721734
3564515;3004764
5735162;5238048
27197106;26727134
5623497;5270665
12410297;6095560
4343241;3962969
3847952;1791880
13752370;13100969
18489019;17985886
1953554;1579073
3504088;3159845
2172159;1813642
20434504;14979675
10034186;7845358
4692501;4226779
278387005;269130162
1940541;1600663
2745939;2365169
6757685;4466110
110563414;106788717
12756937;12256953
3246363;2917528
865877;494755
2258404;1721373
2151813;1654182
25924515;16889264
